Description,Amount,Transaction Type,Category,Month,Year
0,11.11,1,19,4,0
42,1247.44,1,14,4,0
60,24.22,1,18,4,0
20,2298.09,0,3,4,0
44,11.76,1,15,4,0
2,25.85,1,18,4,0
30,18.45,1,11,4,0
24,45.0,1,21,4,0
30,15.38,1,11,4,0
54,10.69,1,16,4,0
46,89.46,1,13,4,0
53,34.87,1,8,4,0
29,43.54,1,9,4,0
9,2000.0,0,17,4,0
47,32.91,1,6,4,0
0,39.05,1,19,4,0
29,44.19,1,9,4,0
2,64.11,1,18,4,0
18,35.0,1,21,4,0
48,60.0,1,21,4,0
9,2000.0,0,17,4,0
0,50.21,1,19,4,0
20,554.99,0,3,4,0
20,309.81,0,3,4,0
20,554.99,1,3,4,0
30,17.38,1,11,4,0
20,309.81,1,3,4,0
55,3.0,1,2,4,0
32,69.99,1,12,4,0
53,30.42,1,8,4,0
60,25.0,1,18,4,0
13,17.62,1,18,4,0
29,27.79,1,9,3,0
0,11.11,1,19,3,0
42,1247.44,1,14,3,0
9,2000.0,0,17,3,0
36,57.02,1,18,3,0
44,11.76,1,15,3,0
20,145.14,0,3,3,0
20,154.13,0,3,3,0
20,154.13,1,3,3,0
24,65.0,1,21,3,0
6,30.0,1,10,3,0
54,10.69,1,16,3,0
11,10.66,1,6,3,0
22,106.8,1,18,3,0
53,36.47,1,8,3,0
46,89.52,1,13,3,0
12,14.0,1,0,3,0
2,10.0,1,18,3,0
48,60.0,1,21,3,0
9,2000.0,0,17,3,0
13,8.0,1,18,3,0
18,35.0,1,21,3,0
29,35.95,1,9,3,0
40,23.51,1,18,3,0
55,2.0,1,2,3,0
55,4.0,1,2,3,0
20,765.37,0,3,3,0
20,156.11,0,3,3,0
20,765.37,1,3,3,0
32,74.99,1,12,3,0
2,85.52,1,18,3,0
25,32.21,1,8,3,0
20,156.11,1,3,3,0
29,32.07,1,9,7,0
0,13.13,1,19,7,0
42,1247.44,1,14,7,0
9,2000.0,0,17,7,0
29,23.74,1,9,7,0
29,10.69,1,9,7,0
44,11.76,1,15,7,0
3,42.24,1,18,7,0
55,3.0,1,2,7,0
20,761.59,0,3,7,0
20,761.59,1,3,7,0
